id_kabupaten,nama_kabupaten,frekuensi_gempa,mag_max,mag_mean,depth_mean,cluster_label,risk_score,risk_level,PC1,PC2
IDN.10.30_1,Sukoharjo,0.0010208248264597796,0.3850769331939134,0.4136123522864801,0.08133333333333333,1,0.1515872432311641,Rendah,-0.2920362444229634,-0.06659506720108344
IDN.10.31_1,Surakarta,0.0002041649652919559,0.303275368045708,0.38761340439151754,0.236,1,0.1515872432311641,Rendah,-0.3508106071972822,-0.14878948948964005
IDN.10.32_1,Tegal,0.0014291547570436914,0.5760449476435273,0.48014936777522266,0.19885714285714284,2,0.32230948651565205,Sedang,-0.09398039154936788,-0.06605950891791175
IDN.10.33_1,Temanggung,0.002041649652919559,0.4831197507273431,0.4788688288308109,0.047466666666666664,1,0.1515872432311641,Rendah,-0.18089283074851292,-0.04379752598752341
IDN.10.34_1,WadukKedungombo,0.0,0.0,0.0,0.0,1,0.1515872432311641,Rendah,-0.8581945212779137,0.005407658173843699
IDN.10.35_1,Wonogiri,0.0032666394446712946,0.6868497908209114,0.552900025308916,0.08975,2,0.32230948651565205,Sedang,0.02258030693543278,-0.011600544051942756
IDN.10.36_1,Wonosobo,0.002245814618211515,0.6021585292028383,0.4557864987358281,0.042666666666666665,2,0.32230948651565205,Sedang,-0.10957519570357077,0.018094652665983618
IDN.10.3_1,Batang,0.0032666394446712946,0.69213121282367,0.4820262925622351,0.06799999999999999,2,0.32230948651565205,Sedang,-0.023155417305640524,0.03312488579201388
IDN.10.4_1,Blora,0.0016333197223356473,0.6380934805709951,0.5392429380143059,0.11733333333333333,2,0.32230948651565205,Sedang,-0.019052681134946625,-0.03692647995600279
IDN.10.5_1,Boyolali,0.0018374846876276032,0.6713312346926231,0.49876111065367884,0.045481481481481484,2,0.32230948651565205,Sedang,-0.030115581376188305,0.024430396207143396
IDN.10.6_1,Brebes,0.006533278889342589,0.612338649698314,0.5705262613685564,0.126875,2,0.32230948651565205,Sedang,-0.015549945663113518,-0.06296646232209549
IDN.10.7_1,Cilacap,0.10106165781951817,0.7890664878896084,0.5733423160946292,0.05084444444444444,0,0.4140255678027285,Tinggi,0.11587531083904978,0.10116492596595592
IDN.10.8_1,Demak,0.0010208248264597796,0.477435359328822,0.489959964950002,0.07866666666666666,1,0.1515872432311641,Rendah,-0.17407545096964638,-0.06436301172409052
IDN.10.9_1,Grobogan,0.0002041649652919559,0.4594417366794351,0.5872081759275184,0.014666666666666666,1,0.1515872432311641,Rendah,-0.13046955799332316,-0.09391010618432631
IDN.11.10_1,Kediri,0.004695794201714986,0.6056545612681523,0.5375020257620285,0.0857391304347826,2,0.32230948651565205,Sedang,-0.04743703158026258,-0.03495600062363471
IDN.11.11_1,KotaBlitar,0.0,0.0,0.0,0.0,1,0.1515872432311641,Rendah,-0.8581945212779137,0.005407658173843699
IDN.11.12_1,KotaKediri,0.0004083299305839118,0.33109674923265364,0.39146875616777843,0.013333333333333332,1,0.1515872432311641,Rendah,-0.3544315531329243,-0.05184824729480387
IDN.11.13_1,KotaMadiun,0.0,0.0,0.0,0.0,1,0.1515872432311641,Rendah,-0.8581945212779137,0.005407658173843699
IDN.11.14_1,KotaMalang,0.0,0.0,0.0,0.0,1,0.1515872432311641,Rendah,-0.8581945212779137,0.005407658173843699
IDN.11.15_1,KotaMojokerto,0.0,0.0,0.0,0.0,1,0.1515872432311641,Rendah,-0.8581945212779137,0.005407658173843699
IDN.11.16_1,KotaPasuruan,0.0002041649652919559,0.39744872931505226,0.5079754944610986,0.013333333333333332,1,0.1515872432311641,Rendah,-0.22858259749094323,-0.08074361472525926
IDN.11.17_1,KotaProbolinggo,0.0,0.0,0.0,0.0,1,0.1515872432311641,Rendah,-0.8581945212779137,0.005407658173843699
IDN.11.18_1,Lamongan,0.002449979583503471,0.721077104162039,0.6097448167938325,0.1668888888888889,0,0.4140255678027285,Tinggi,0.09447682220936837,-0.055646401625893065
IDN.11.19_1,Lumajang,0.005104124132298897,0.5958268408212609,0.466766649888169,0.04186666666666666,2,0.32230948651565205,Sedang,-0.10674684135386603,0.012452445148654949
IDN.11.1_1,Bangkalan,0.0028583095140873828,0.5989103642463018,0.6505737105495074,0.6349523809523809,2,0.32230948651565205,Sedang,0.08798534550964643,-0.308466476053167
IDN.11.20_1,Madiun,0.0057166190281747655,0.529730339400668,0.4771780397258902,0.0419047619047619,2,0.32230948651565205,Sedang,-0.14818418814426237,-0.019243029648065565
IDN.11.21_1,Magetan,0.0014291547570436914,0.41777317545552667,0.44406000592205797,0.07904761904761905,1,0.1515872432311641,Rendah,-0.24812874512098815,-0.0666481348066424
IDN.11.22_1,Malang,0.189873417721519,0.7938661878519777,0.6069873116597105,0.047647311827956985,0,0.4140255678027285,Tinggi,0.1499691302224656,0.14765836520020617
IDN.11.23_1,Mojokerto,0.0008166598611678236,0.5798896888856487,0.5459208022678235,0.14133333333333334,2,0.32230948651565205,Sedang,-0.054465419918990565,-0.0739399895342727
IDN.11.24_1,Nganjuk,0.007962433646386281,0.5182515983379327,0.4258855960708037,0.030427350427350428,1,0.1515872432311641,Rendah,-0.19176241842122088,0.00668645706130651
IDN.11.25_1,Ngawi,0.0034708044099632505,0.6394982249012497,0.5351866532571257,0.05984313725490196,2,0.32230948651565205,Sedang,-0.027396405806056734,-0.010645131891052022
IDN.11.26_1,Pacitan,0.07431604736627195,0.7121010771175659,0.5482021473750207,0.04667032967032967,2,0.32230948651565205,Sedang,0.039732188552914494,0.0654316231699825
IDN.11.27_1,Pamekasan,0.0004083299305839118,0.43584172649715436,0.5121796374329551,0.016,1,0.1515872432311641,Rendah,-0.19733819291165322,-0.06793531971476967
IDN.11.28_1,Pasuruan,0.0028583095140873828,0.5638482492584472,0.45858940273372734,0.06142857142857142,2,0.32230948651565205,Sedang,-0.1334746833048327,-0.0058953771023733635
IDN.11.29_1,Ponorogo,0.005104124132298897,0.5812508307909906,0.5154149707829448,0.07936,2,0.32230948651565205,Sedang,-0.08068065802668822,-0.03157757241135873
IDN.11.2_1,Banyuwangi,0.268681094324214,0.8541612906835908,0.587170596444085,0.03926443768996961,0,0.4140255678027285,Tinggi,0.18765417703436105,0.23791012625547991
IDN.11.30_1,Probolinggo,0.006329113924050634,0.5896697137427224,0.473635910903837,0.03987096774193548,2,0.32230948651565205,Sedang,-0.10681892882364263,0.008231628222229453
IDN.11.31_1,Sampang,0.002449979583503471,0.8862639410191169,0.6294954357474581,0.015,0,0.4140255678027285,Tinggi,0.2104276730060365,0.06209005018160098
IDN.11.32_1,Sidoarjo,0.0002041649652919559,0.505955501660318,0.646656982836854,0.013333333333333332,2,0.32230948651565205,Sedang,-0.057133206138935355,-0.10287452035120492
IDN.11.33_1,Situbondo,0.01755818701510821,0.7303608510288075,0.4756137305191509,0.027085271317829455,2,0.32230948651565205,Sedang,-0.0029021818123603493,0.07746978362648091
IDN.11.34_1,Sumenep,0.06002449979583504,0.8647866000933859,0.5703475799901168,0.13019501133786848,0,0.4140255678027285,Tinggi,0.17481944138567485,0.0750821130810021
IDN.11.35_1,Surabaya,0.0002041649652919559,0.28201057772619376,0.36043507526266977,0.017333333333333333,1,0.1515872432311641,Rendah,-0.41050675597018876,-0.05876641920788489
IDN.11.36_1,Trenggalek,0.13638219681502656,0.7510703367437568,0.5875697778896412,0.04561676646706587,0,0.4140255678027285,Tinggi,0.10029881013072706,0.10444356858197547
IDN.11.37_1,Tuban,0.006329113924050634,0.8745427090732283,0.5677279581856584,0.10313978494623656,0,0.4140255678027285,Tinggi,0.17177161836467747,0.055008268109281444
IDN.11.38_1,Tulungagung,0.005104124132298897,0.6585369381543863,0.521745231552254,0.11509333333333333,2,0.32230948651565205,Sedang,-0.01561561544333212,-0.016943695380251866
IDN.11.3_1,Batu,0.0006124948958758677,0.4138666569720814,0.4848104340882406,0.014666666666666666,1,0.1515872432311641,Rendah,-0.23172430063747185,-0.06313852429621591
IDN.11.4_1,Blitar,0.022662311147407105,0.6286384151697976,0.5596057553665116,0.08694294294294294,2,0.32230948651565205,Sedang,-0.014051289807307521,-0.024600166995054042
IDN.11.5_1,Bojonegoro,0.0120457329522254,0.7129134553831781,0.4597516697230886,0.03548022598870056,2,0.32230948651565205,Sedang,-0.02573554012885282,0.07095826206771534
IDN.11.6_1,Bondowoso,0.01102490812576562,0.45685826234731675,0.43943025999000496,0.020271604938271605,1,0.1515872432311641,Rendah,-0.22865520303671039,-0.018952154525287916
IDN.11.7_1,Gresik,0.04409963250306248,0.7867696327951695,0.6408592261447011,0.09032716049382715,0,0.4140255678027285,Tinggi,0.1581420956400873,0.014207884964054016
IDN.11.8_1,Jember,0.1288280930992242,0.7376541639974241,0.5729084883989147,0.038787110406761756,0,0.4140255678027285,Tinggi,0.07919856002554704,0.10360720751157367
IDN.11.9_1,Jombang,0.0008166598611678236,0.6855915882481527,0.5488830964584824,0.074,2,0.32230948651565205,Sedang,0.01687644649533393,-0.005654813922128422
IDN.12.10_1,Sambas,0.0032666394446712946,0.8513473955276369,0.9204376277896387,0.17258333333333334,0,0.4140255678027285,Tinggi,0.39671311124686526,-0.15315263600874035
IDN.12.11_1,Sanggau,0.0028583095140873828,0.7754015238612628,0.8145519388639094,0.08723809523809524,0,0.4140255678027285,Tinggi,0.26063757370456975,-0.10025708709208994
IDN.12.12_1,Sekadau,0.0002041649652919559,0.7017893925958867,0.8969504427044306,0.36266666666666664,0,0.4140255678027285,Tinggi,0.2939901011635132,-0.27970505420504893
IDN.12.13_1,Singkawang,0.0002041649652919559,0.7589513011394613,0.9700085420643239,0.013333333333333332,0,0.4140255678027285,Tinggi,0.34262042119496494,-0.154475227302635
IDN.12.14_1,Sintang,0.0036749693752552064,0.8045033003067775,0.8472410243784397,0.2676296296296296,0,0.4140255678027285,Tinggi,0.32524003964564285,-0.1741698484757344
IDN.12.1_1,Bengkayang,0.0014291547570436914,0.816869158966047,0.8359634637575495,0.1895238095238095,0,0.4140255678027285,Tinggi,0.3172765168811199,-0.13458202458861737
IDN.12.2_1,KapuasHulu,0.006737443854634545,0.8029859836280521,0.8833952570226483,0.11858585858585859,0,0.4140255678027285,Tinggi,0.33061954088578116,-0.13170208868895567
