id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,korban_total,rumah_rusak_total,fasum_rusak_total,cluster_label,risk_score,risk_level,PC1,PC2
IDN.5.10_1,Seluma,0.01823985408116735,0.09170779861796644,0.6737208656184495,0.5606566396169529,0.0,0.0028267599946156952,0.023449612403100777,0,0.32713905858471043,Tinggi,-0.14671379568969867,-0.02141408750110585
IDN.6.1_1,Boalemo,0.17054263565891473,0.12531739789158056,0.7307240737622631,0.4780946142013203,0.0,4.038228563736708e-05,0.0,0,0.32713905858471043,Tinggi,-0.11865679812111507,-0.05185546676164199
IDN.6.2_1,BoneBolango,0.021431828545371637,0.16074016508789984,0.6624008564656948,0.5197590790639433,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.07232001968445162,-0.0034677537890368537
IDN.6.3_1,DanauLimboto,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0017032857344437438,Rendah,1.1141971613309207,0.011953058692627305
IDN.6.5_1,Gorontalo,0.05699954400364797,0.06925172754195458,0.7167213339706655,0.4450509724698262,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.13039626045771813,-0.10031479062343351
IDN.6.4_1,GorontaloUtara,0.052895576835385316,0.059995915171732986,0.6269108224418503,0.49554073374543595,0.0,0.0,0.0,1,0.29140905136714823,Sedang,-0.11429173139383142,-0.0973138619874041
IDN.6.6_1,KotaGorontalo,0.002279981760145919,0.12418558736426456,0.6810259636623871,0.561877606124753,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.1272607711450907,0.00816255018512857
IDN.6.7_1,Pohuwato,0.2384860921112631,0.12776354806256712,0.755048750539324,0.4740929938294209,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.1303653103740019,-0.05400949116276377
IDN.7.1_1,JakartaBarat,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0017032857344437438,Rendah,1.1141971613309207,0.011953058692627305
IDN.7.2_1,JakartaPusat,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0017032857344437438,Rendah,1.1141971613309207,0.011953058692627305
IDN.7.3_1,JakartaSelatan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0017032857344437438,Rendah,1.1141971613309207,0.011953058692627305
IDN.7.4_1,JakartaTimur,0.00045599635202918376,0.5281342546890424,0.5915805478901766,0.7791371451687455,5.2159399123722096e-05,0.0,0.0005813953488372093,0,0.32713905858471043,Tinggi,0.09891823617484202,0.38524023815491193
IDN.7.5_1,JakartaUtara,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0017032857344437438,Rendah,1.1141971613309207,0.011953058692627305
IDN.7.6_1,KepulauanSeribu,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0017032857344437438,Rendah,1.1141971613309207,0.011953058692627305
IDN.8.1_1,BatangHari,0.002279981760145919,0.13168805528134256,0.6208711698920912,0.7191901246854383,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.16641929674623313,0.09987230393555824
IDN.8.2_1,Bungo,0.005015959872321021,0.2312662658171049,0.5439615796643488,0.609676377564469,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.003683068231134623,0.07008604261279971
IDN.8.3_1,Jambi,0.00045599635202918376,0.00493583415597236,0.6530995977626031,0.8601603922346622,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.3401895486705725,0.12052783643152198
IDN.8.4_1,Kerinci,0.012311901504787962,0.12558955796863003,0.6591748145940814,0.5902866045173871,0.0015126225745879407,0.010701305693902275,0.014147286821705426,0,0.32713905858471043,Tinggi,-0.1293202790467668,0.016277554498272617
