id_kabupaten,nama_kabupaten,frekuensi_gempa,seismic_density,mag_p95,mag_std,b_value,depth_std,depth_skew,shallow_ratio,event_concentration,centroid_lat,centroid_lon,cluster_label,risk_score,risk_level,PC1,PC2
IDN.3.3_1,BangkaTengah,0.0004083299305839118,3.468824102672319e-05,0.8463619968173678,0.050610307737566924,0.08558343647778685,0.008517887563884158,0.11997798621653939,1.0,0.5,0.4937153881823908,0.7574199890973661,2,0.34662297755864696,Sedang,0.10095838544606672,0.5616745100235826
IDN.3.6_1,Belitung,0.0028583095140873828,0.0002331496024009428,0.8655009228745387,0.34611579201207876,0.019358536510741233,0.4450896063253638,0.229530835592606,0.6428571428571429,0.07142857142857142,0.47209067021409223,0.7636278101532444,2,0.34662297755864696,Sedang,0.06300863619021912,-0.11897125037598758
IDN.3.5_1,BelitungTimur,0.004695794201714986,0.00034699736773790614,0.8765738863509833,0.30341295191828965,0.02619065864567575,0.5338627250411491,0.2079015526709277,0.6956521739130435,0.043478260869565216,0.44661077051974285,0.7722535035812137,2,0.34662297755864696,Sedang,0.10253738463944218,-0.12556815207987734
IDN.3.7_1,Pangkalpinang,0.0,0.0,0.0,0.0,0.08558343647778685,0.0,0.11997798621653939,0.0,0.0,0.6466201926850496,0.0,0,0.24442225643687543,Rendah,-1.2357137132308715,-0.19214143046418233
IDN.4.1_1,Cilegon,0.0012249897917517355,0.0013966092340231048,0.641196137492464,0.3744813921993562,0.03671119700282889,0.07179994829785807,0.07655852830378512,0.0,0.16666666666666666,0.2864940916964389,0.7529317781685184,0,0.24442225643687543,Rendah,-0.4929084167589699,-0.12143010674488122
IDN.4.2_1,KotaSerang,0.0008166598611678236,0.0005760166158467218,0.5721914629123553,0.15644728709712644,0.12081162402457819,0.26035491493888,0.12787289650926176,0.25,0.25,0.2767510132263479,0.7544473579525778,0,0.24442225643687543,Rendah,-0.41184006845765186,0.06636249988628018
IDN.4.3_1,KotaTangerang,0.0,0.0,0.0,0.0,0.08558343647778685,0.0,0.11997798621653939,0.0,0.0,0.6466201926850496,0.0,0,0.24442225643687543,Rendah,-1.2357137132308715,-0.19214143046418233
IDN.4.4_1,Lebak,0.05430788076766027,0.0030606471326451597,0.711086697104959,0.4701987568947627,0.010810654824329548,0.16028338239293527,0.306642968710354,0.6691729323308271,0.015037593984962405,0.22697257738316468,0.7546794030869932,2,0.34662297755864696,Sedang,0.09846011351421957,-0.1248700773468419
IDN.4.5_1,Pandeglang,0.2356063699469171,0.015811838288262457,0.7557447300625326,0.4602136974344904,0.007985088322712847,0.09474522774221336,0.36223822423897756,0.912478336221837,0.0025996533795493936,0.22069142500296046,0.7473118264832765,2,0.34662297755864696,Sedang,0.29393768781749574,-0.06376015114760854
IDN.4.6_1,Serang,0.006329113924050634,0.000809084449309358,0.7045455845302534,0.38072890182856245,0.0401379862651475,0.15671085189356376,0.08722040131227216,0.25806451612903225,0.06451612903225806,0.2747686297764211,0.752474436628132,0,0.24442225643687543,Rendah,-0.2682161339691109,-0.15302580617208383
IDN.4.8_1,Tangerang,0.0008166598611678236,0.00014817629091222907,0.5835508749854621,0.2980820528834445,0.05521645317664113,0.1060856076872345,0.19587983194873465,0.0,0.25,0.2688952419816776,0.7567658616880636,0,0.24442225643687543,Rendah,-0.527211191342347,-0.035130653533822304
IDN.4.7_1,TangerangSelatan,0.0,0.0,0.0,0.0,0.08558343647778685,0.0,0.11997798621653939,0.0,0.0,0.6466201926850496,0.0,0,0.24442225643687543,Rendah,-1.2357137132308715,-0.19214143046418233
IDN.5.4_1,Bengkulu,0.0034708044099632505,0.0034874896108133325,0.7402979768515503,0.5604903377190787,0.008759790878997632,0.044587368988991676,0.14566263457431156,0.8823529411764706,0.058823529411764705,0.4085993869918064,0.7252090272723517,2,0.34662297755864696,Sedang,0.20897000603889015,-0.039164906759031684
IDN.5.1_1,BengkuluSelatan,0.05492037566353614,0.008410048448760714,0.7550493771259718,0.48000350431305316,0.014364067620896124,0.07046813362155842,0.2669507793390409,0.9144981412639405,0.011152416356877323,0.3608714182804852,0.7303256921066423,2,0.34662297755864696,Sedang,0.24573290724561314,-0.05225932335290451
IDN.5.2_1,BengkuluTengah,0.005104124132298897,0.0009194061833653294,0.64584532742045,0.3556627943916583,0.021381184894560413,0.10483827640248033,0.1388265688343619,0.6,0.08,0.4228247566298763,0.7278671497203151,2,0.34662297755864696,Sedang,-0.09317367700222157,-0.03825094023320713
IDN.5.3_1,BengkuluUtara,0.26010616578195184,0.0115844658125593,0.8137202285724705,0.5297870461754222,0.009720936786291573,0.11483998631760164,0.4166821551140154,0.9144427001569859,0.0015698587127158557,0.3434362812762091,0.7248717129654149,2,0.34662297755864696,Sedang,0.3235130860032085,-0.11540381437791657
IDN.5.5_1,Kaur,0.07064107799101675,0.005237819726503478,0.7313728448646196,0.44805992494577424,0.020191034400366587,0.05383544947525189,0.20275834787972624,0.9450867052023122,0.011560693641618497,0.3402806554691867,0.732710107971711,2,0.34662297755864696,Sedang,0.24129959900532238,-0.020357788707120197
IDN.5.6_1,Kepahiang,0.002449979583503471,0.0006531711349946248,0.7182039256143327,0.46207294519002157,0.052009593539118854,0.11280372385877682,0.17175481852076185,0.75,0.16666666666666666,0.42844783342053205,0.7290368915122307,2,0.34662297755864696,Sedang,0.06875693537204475,0.03353991666443257
IDN.5.7_1,Lebong,0.007554103715802368,0.0008511443445137092,0.634452926721251,0.35111368640747975,0.02268281467902458,0.1003374613706744,0.20575794196731576,0.8378378378378378,0.02702702702702703,0.4563507427229951,0.7265316198250422,1,0.35717696212353406,Tinggi,0.07452368166168166,-0.017345558533695307
IDN.5.8_1,Mukomuko,0.049203756635361376,0.002178371753312285,0.7527036662458184,0.4944159623135817,0.011818423591285127,0.062347007165106674,0.1698683491860805,0.8672199170124482,0.008298755186721992,0.4702935325179067,0.7195421479371926,2,0.34662297755864696,Sedang,0.18139239826873443,-0.07590205755642192
IDN.5.9_1,RejangLebong,0.008370763576970192,0.0010475638542270498,0.627413369524773,0.3543763572910828,0.03461517337089054,0.1356146196739261,0.19669676875865727,0.8292682926829268,0.04878048780487805,0.4383647433931591,0.7287754653169184,1,0.35717696212353406,Tinggi,0.06901840821521477,-0.007456413337431342
IDN.5.10_1,Seluma,0.10228664761126992,0.007840335025457178,0.7466252079077699,0.48419201357696834,0.008417113844785357,0.058024261221101874,0.23201858150651578,0.9441117764471058,0.005988023952095809,0.380805764660261,0.7263394396021996,2,0.34662297755864696,Sedang,0.257479147938966,-0.049916587443029764
IDN.6.1_1,Boalemo,0.2582686810943242,0.026459926905218648,0.650436002704879,0.5026645797348421,0.009409847867728242,0.12077666383503945,0.12413472956692101,0.20869565217391303,0.003952569169960474,0.6704262367291536,0.868858555993816,0,0.24442225643687543,Rendah,-0.264316719369594,-0.3027899701608281
IDN.6.2_1,BoneBolango,0.18170681910984077,0.018025547859116003,0.6850368166613993,0.45504163046928775,0.009390688059621129,0.13231364048022598,0.23794412484034838,0.12247191011235956,0.008988764044943821,0.6461656186316298,0.8753920739749852,0,0.24442225643687543,Rendah,-0.3085595241748885,-0.30934659110198187
IDN.6.3_1,DanauLimboto,0.0,0.0,0.0,0.0,0.08558343647778685,0.0,0.11997798621653939,0.0,0.0,0.6466201926850496,0.0,0,0.24442225643687543,Rendah,-1.2357137132308715,-0.19214143046418233
IDN.6.5_1,Gorontalo,0.04267047774601879,0.0037799831733458704,0.6014268537608676,0.47925600360566734,0.006686829596131524,0.14955596906427973,0.18377495927211351,0.6842105263157895,0.009569377990430622,0.6785878632742379,0.8717493531927121,1,0.35717696212353406,Tinggi,0.03450732221225272,-0.14406941588524086
IDN.6.4_1,GorontaloUtara,0.13229889750918744,0.014652107892987341,0.7100337237579127,0.5961537499948875,0.002754678148932415,0.3962254928353463,0.19357689745124368,0.7993827160493827,0.0030864197530864196,0.7366079331666271,0.8716245783475765,2,0.34662297755864696,Sedang,0.21175021383154813,-0.2308649881124043
IDN.6.6_1,KotaGorontalo,0.0012249897917517355,0.0035533554426808184,0.742451809220048,0.7930481521696597,0.011261233720437795,0.09736060994245795,0.09662429654037297,0.3333333333333333,0.16666666666666666,0.677605430375263,0.8743483406938042,0,0.24442225643687543,Rendah,-0.08052175655861915,-0.2173797046586896
IDN.6.7_1,Pohuwato,0.245406288280931,0.010632401234782885,0.6374609614544158,0.4849442804379043,0.010796830616945575,0.15658705888225732,0.1520201957731324,0.2878535773710483,0.004159733777038269,0.6750321963072434,0.8653458486863811,0,0.24442225643687543,Rendah,-0.21742469212726623,-0.2820143398792717
IDN.7.1_1,JakartaBarat,0.0,0.0,0.0,0.0,0.08558343647778685,0.0,0.11997798621653939,0.0,0.0,0.6466201926850496,0.0,0,0.24442225643687543,Rendah,-1.2357137132308715,-0.19214143046418233
IDN.7.2_1,JakartaPusat,0.0,0.0,0.0,0.0,0.08558343647778685,0.0,0.11997798621653939,0.0,0.0,0.6466201926850496,0.0,0,0.24442225643687543,Rendah,-1.2357137132308715,-0.19214143046418233
IDN.7.3_1,JakartaSelatan,0.0,0.0,0.0,0.0,0.08558343647778685,0.0,0.11997798621653939,0.0,0.0,0.6466201926850496,0.0,0,0.24442225643687543,Rendah,-1.2357137132308715,-0.19214143046418233
IDN.7.4_1,JakartaTimur,0.0002041649652919559,0.00020657468453663962,0.6967396669171265,0.0,0.08558343647778685,0.0,0.11997798621653939,0.0,1.0,0.2704728875431486,0.7594602836962187,0,0.24442225643687543,Rendah,-0.6835539958376216,0.7272591362586434
IDN.7.5_1,JakartaUtara,0.0,0.0,0.0,0.0,0.08558343647778685,0.0,0.11997798621653939,0.0,0.0,0.6466201926850496,0.0,0,0.24442225643687543,Rendah,-1.2357137132308715,-0.19214143046418233
IDN.7.6_1,KepulauanSeribu,0.0032666394446712946,0.07149813140070828,0.8194933188150899,0.5162782429846765,0.026100193920937338,0.3313581612496972,0.1115831444968136,0.3125,0.0625,0.3158510368762257,0.7572049206068541,0,0.24442225643687543,Rendah,-0.12737765190305006,-0.23868056401228288
IDN.8.1_1,BatangHari,0.0010208248264597796,3.526176335091477e-05,0.7302544668550335,0.41148311058863696,0.0333115969812383,0.18483148701635405,0.15569122504696586,0.6,0.2,0.5453903021861091,0.7323907234183753,0,0.24442225643687543,Rendah,-0.06384647801712595,0.008956166349748634
IDN.8.2_1,Bungo,0.002245814618211515,9.036060305145728e-05,0.6303201993735092,0.3992689164568236,0.02134667318628838,0.23171478114119495,0.10676034478186835,0.36363636363636365,0.09090909090909091,0.5534547064095615,0.7235652361821135,0,0.24442225643687543,Rendah,-0.2664344332959254,-0.1533075291894373
IDN.8.3_1,Jambi,0.0002041649652919559,0.0002251182207642749,0.7691943182237645,0.0,0.08558343647778685,0.0,0.11997798621653939,1.0,1.0,0.5506879975945197,0.7360651634567441,1,0.35717696212353406,Tinggi,-0.01724086139072112,0.9912526515958806
IDN.8.4_1,Kerinci,0.00551245406288281,0.0003058140957661028,0.6594917147529971,0.4621194137451096,0.02191849461395134,0.18384961371624636,0.1926558881783402,0.5185185185185185,0.037037037037037035,0.5172584295446957,0.7213226858047848,0,0.24442225643687543,Rendah,-0.10737147088011922,-0.16937259902164026
IDN.8.5_1,Merangin,0.038178848509595756,0.000971142835784066,0.6851929528465399,0.36558681222579364,0.009012811154588792,0.1510442888432346,0.07785380890709295,0.1657754010695187,0.0106951871657754,0.5058137551001232,0.7247366790214194,0,0.24442225643687543,Rendah,-0.38437973608599885,-0.24531863141942323
IDN.8.6_1,MuaroJambi,0.0006124948958758677,2.096731000792672e-05,0.7910452637974716,0.770901367871767,0.01626765603686878,0.006954826072638211,0.052442744328605295,1.0,0.3333333333333333,0.5403843680341631,0.7376630484586432,1,0.35717696212353406,Tinggi,0.32187286903370915,0.14713427365200307
IDN.8.7_1,Sarolangun,0.014087382605144957,0.0004530368009890741,0.6789234534863208,0.39366684992745765,0.015191549128466358,0.15112887646774079,0.07553103101687439,0.14492753623188406,0.014492753623188406,0.4922812095671108,0.7269965974205312,0,0.24442225643687543,Rendah,-0.39103677116661206,-0.2549149132012642
IDN.8.8_1,SungaiPenuh,0.0002041649652919559,0.00010904735286354245,0.5909178056390639,0.0,0.08558343647778685,0.0,0.11997798621653939,0.0,1.0,0.5187469558522788,0.7200859539099682,0,0.24442225643687543,Rendah,-0.7790991408037774,0.7030989883167875
IDN.8.9_1,TanjungJabungB,0.0006124948958758677,2.3434142526359075e-05,0.8004860829213561,0.4464717664498746,0.05263157482881446,0.2530754083279179,0.1700499540498904,0.6666666666666666,0.3333333333333333,0.5720362043979206,0.7329615353557105,2,0.34662297755864696,Sedang,0.009085802992641057,0.10663910574374372
