id_kabupaten,nama_kabupaten,luas_wilayah_km2,frekuensi_gempa,mag_max,mag_mean,depth_mean,korban_total,rumah_rusak_total,fasum_rusak_total,cluster_label,risk_score,risk_level,PC1,PC2
IDN.34.5_1,KutaiBarat,0.714722304449964,0.006839945280437756,0.7931491387579379,0.904350599504073,0.11712062256809339,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.5205329834782787,-0.007105535563952048
IDN.34.6_1,KutaiKartanegara,0.564479319381489,0.00729594163246694,0.8154204892627624,0.888058040373027,0.16731517509727628,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.5066232094777087,0.020418532135129022
IDN.34.7_1,KutaiTimur,0.7056738151018273,0.018695850433196534,0.8428986253221901,0.6470513295142155,0.09371737686248457,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.3712056418535,-0.09832417477341383
IDN.34.10_1,Paser,0.23752167142119823,0.008663930688554491,0.789533394178952,0.7596247297433778,0.09420438255171001,0.0,0.0009489837124781262,0.003682170542635659,0,0.1934855126889741,Tinggi,0.3272387741287882,-0.03383218464489417
IDN.34.11_1,PenajamPaserUtara,0.07270703560295805,0.0009119927040583675,0.6005383548143884,0.7810405341497072,0.019455252918287938,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.16992093955502618,0.0005463691791849565
IDN.34.12_1,Samarinda,0.016037929713005977,0.0,0.0,0.0,0.0,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,1,0.00632521236662306,Rendah,-0.7868955549691214,0.05600719427214074
IDN.35.4,Bulungan,0.2935132623688984,0.006383948928408573,0.7082722053839228,0.702855471561351,0.10214007782101167,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.24498784274983698,-0.010774896359362393
IDN.35.8,Malinau,0.8963556630232417,0.004559963520291838,0.7283413335773674,0.8657882994409121,0.14260700389105058,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.4881545491547318,0.020547049601820452
IDN.35.9,Nunukan,0.3172635501562323,0.0013679890560875513,0.6663019961925744,0.7945258479337126,0.0946822308690013,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.28252001113289904,0.01974693403962336
IDN.35.13,TanaTidung,0.06338013117606757,0.004103967168262654,0.7625873980302521,0.772077268585563,0.025507998270644185,0.00010431879824744419,0.001123973616906717,0.0032945736434108527,0,0.1934855126889741,Tinggi,0.2726006818514163,-0.0594039474569483
IDN.35.14,Tarakan,0.005299889700405132,0.001823985408116735,0.47824088747511223,0.5892425230943004,0.04717898832684825,0.00036511579386605466,0.00020864180912639655,0.0003875968992248062,0,0.1934855126889741,Tinggi,-0.051530369623662975,0.029384574710643024
