id_kabupaten,nama_kabupaten,frekuensi_gempa,mag_max,mag_mean,depth_mean,cluster_label,risk_score,risk_level,PC1,PC2
IDN.11.29_1,Ponorogo,25.0,4.59315922,3.18671550716,59.52,0,0.32755760277329876,Sedang,-0.08068065802668822,-0.03157757241135873
IDN.11.2_1,Banyuwangi,1316.0,6.749751742,3.63036727899924,29.448328267477205,2,0.4079116697611709,Tinggi,0.18765417703436105,0.23791012625547991
IDN.11.30_1,Probolinggo,31.0,4.659686901,2.9284033013870965,29.903225806451612,0,0.32755760277329876,Sedang,-0.10681892882364263,0.008231628222229453
IDN.11.31_1,Sampang,12.0,7.003433245,3.892053938083333,11.25,2,0.4079116697611709,Tinggi,0.2104276730060365,0.06209005018160098
IDN.11.32_1,Sidoarjo,1.0,3.998160612,3.998160612,10.0,0,0.32755760277329876,Sedang,-0.057133206138935355,-0.10287452035120492
IDN.11.33_1,Situbondo,86.0,5.771456141,2.9406317945348834,20.313953488372093,2,0.4079116697611709,Tinggi,-0.0029021818123603493,0.07746978362648091
IDN.11.34_1,Sumenep,294.0,6.833715042,3.5263536774353743,97.64625850340136,2,0.4079116697611709,Tinggi,0.17481944138567485,0.0750821130810021
IDN.11.35_1,Surabaya,1.0,2.228503456,2.228503456,13.0,1,0.14613294364826168,Rendah,-0.41050675597018876,-0.05876641920788489
IDN.11.36_1,Trenggalek,668.0,5.9351066,3.632835344101796,34.212574850299404,2,0.4079116697611709,Tinggi,0.10029881013072706,0.10444356858197547
IDN.11.37_1,Tuban,31.0,6.910809748,3.5101570399677415,77.35483870967742,2,0.4079116697611709,Tinggi,0.17177161836467747,0.055008268109281444
IDN.11.38_1,Tulungagung,25.0,5.203889352,3.2258543395599997,86.32,0,0.32755760277329876,Sedang,-0.01561561544333212,-0.016943695380251866
IDN.11.3_1,Batu,3.0,3.270456317,2.9974933129999997,11.0,1,0.14613294364826168,Rendah,-0.23172430063747185,-0.06313852429621591
IDN.11.4_1,Blitar,111.0,4.9676253,3.4599389610540543,65.2072072072072,0,0.32755760277329876,Sedang,-0.014051289807307521,-0.024600166995054042
IDN.11.5_1,Bojonegoro,59.0,5.633583364,2.8425596042033896,26.610169491525422,0,0.32755760277329876,Sedang,-0.02573554012885282,0.07095826206771534
IDN.11.6_1,Bondowoso,54.0,3.6101845,2.7169160835555553,15.203703703703704,1,0.14613294364826168,Rendah,-0.22865520303671039,-0.018952154525287916
IDN.11.7_1,Gresik,216.0,6.21720951,3.9623141538935185,67.74537037037037,2,0.4079116697611709,Tinggi,0.1581420956400873,0.014207884964054016
IDN.11.8_1,Jember,631.0,5.829089345,3.5421873008288434,29.090332805071316,2,0.4079116697611709,Tinggi,0.07919856002554704,0.10360720751157367
IDN.11.9_1,Jombang,4.0,5.417680557,3.39364274275,55.5,0,0.32755760277329876,Sedang,0.01687644649533393,-0.005654813922128422
IDN.12.10_1,Sambas,16.0,6.727515785,5.6908957405625,129.4375,2,0.4079116697611709,Tinggi,0.39671311124686526,-0.15315263600874035
IDN.12.11_1,Sanggau,14.0,6.127376461,5.036224095357142,65.42857142857143,2,0.4079116697611709,Tinggi,0.26063757370456975,-0.10025708709208994
IDN.12.12_1,Sekadau,1.0,5.545678816,5.545678816,272.0,0,0.32755760277329876,Sedang,0.2939901011635132,-0.27970505420504893
IDN.12.13_1,Singkawang,1.0,5.997383542,5.997383542,10.0,2,0.4079116697611709,Tinggi,0.34262042119496494,-0.154475227302635
IDN.12.14_1,Sintang,18.0,6.357344464,5.238334669611111,200.72222222222223,2,0.4079116697611709,Tinggi,0.32524003964564285,-0.1741698484757344
IDN.12.1_1,Bengkayang,7.0,6.455061929,5.168607596571428,142.14285714285714,2,0.4079116697611709,Tinggi,0.3172765168811199,-0.13458202458861737
IDN.12.2_1,KapuasHulu,33.0,6.345354327,5.461869608151515,88.93939393939394,2,0.4079116697611709,Tinggi,0.33061954088578116,-0.13170208868895567
IDN.12.3_1,KayongUtara,12.0,6.046969746,5.535841083833334,163.33333333333334,2,0.4079116697611709,Tinggi,0.32232125345214324,-0.19466220938558546
IDN.12.4_1,Ketapang,41.0,6.389105118,5.30642432007317,82.85365853658537,2,0.4079116697611709,Tinggi,0.31718947817420673,-0.11308575234067594
IDN.12.5_1,KotaPontianak,0.0,0.0,0.0,0.0,1,0.14613294364826168,Rendah,-0.8581945212779137,0.005407658173843699
IDN.12.6_1,KubuRaya,10.0,6.07564365,5.5234697412000004,207.8,2,0.4079116697611709,Tinggi,0.3306874827312144,-0.21572000948293799
IDN.12.7_1,Landak,4.0,6.280183663,4.11313535,12.75,2,0.4079116697611709,Tinggi,0.16719383624358952,0.005528065411158778
IDN.12.8_1,Melawi,4.0,6.140497954,5.94992454375,126.75,2,0.4079116697611709,Tinggi,0.3694301170340687,-0.2039550331728811
IDN.12.9_1,Pontianak,2.0,6.217739375,6.1828151835,10.0,2,0.4079116697611709,Tinggi,0.38295492897674055,-0.1573132707530857
IDN.13.10_1,Tabalong,6.0,4.141807499,3.6255697156666664,13.333333333333334,0,0.32755760277329876,Sedang,-0.08316020004549707,-0.06754085583930305
IDN.13.11_1,TanahBumbu,3.0,5.757567637,5.543109548333334,128.33333333333334,2,0.4079116697611709,Tinggi,0.2905313086160731,-0.19318004708860204
IDN.13.12_1,TanahLaut,16.0,6.570892839,5.3951672765,71.5,2,0.4079116697611709,Tinggi,0.3412538943519702,-0.10803395884779567
IDN.13.13_1,Tapin,1.0,5.994796598,5.994796598,10.0,2,0.4079116697611709,Tinggi,0.3421031500931825,-0.15440845729052646
IDN.13.1_1,Balangan,2.0,5.82021579,5.3780391565,514.0,2,0.4079116697611709,Tinggi,0.3399778340198617,-0.37874645691107744
IDN.13.2_1,BanjarBaru,0.0,0.0,0.0,0.0,1,0.14613294364826168,Rendah,-0.8581945212779137,0.005407658173843699
IDN.13.3_1,Banjar,4.0,4.771098561,4.01572048025,23.25,0,0.32755760277329876,Sedang,0.018553731575306043,-0.07066190445107076
IDN.13.4_1,Banjarmasin,0.0,0.0,0.0,0.0,1,0.14613294364826168,Rendah,-0.8581945212779137,0.005407658173843699
IDN.13.5_1,BaritoKuala,3.0,6.1958025,5.390997597333334,313.3333333333333,2,0.4079116697611709,Tinggi,0.34426630713180895,-0.25529270692429196
IDN.13.6_1,HuluSungaiSelatan,1.0,5.215960869,5.215960869,109.0,0,0.32755760277329876,Sedang,0.20212455853781985,-0.18603145308522895
IDN.13.7_1,HuluSungaiTengah,1.0,4.2383154,4.2383154,19.0,0,0.32755760277329876,Sedang,-0.007681073086735601,-0.11377528375875977
IDN.13.8_1,HuluSungaiUtara,2.0,6.214212263,5.4708202485,303.5,2,0.4079116697611709,Tinggi,0.3529509368403333,-0.25553717950584065
IDN.13.9_1,KotaBaru,23.0,6.129315413,5.2288159309130435,48.69565217391305,2,0.4079116697611709,Tinggi,0.2789939113558294,-0.10514428151020079
