id_kabupaten,nama_kabupaten,luas_wilayah_km2,frekuensi_gempa,mag_max,mag_mean,depth_mean,korban_total,rumah_rusak_total,fasum_rusak_total,cluster_label,risk_score,risk_level,PC1,PC2
IDN.1.16_1,Langsa,0.0042372291566407354,0.00045599635202918376,0.46384792499424093,0.6109077611854664,0.019455252918287938,0.0,0.0001278772378516624,0.0,2,0.17088705183846617,Sedang,-0.051882176590970164,0.021002458796515452
IDN.1.17_1,Lhokseumawe,0.0029297850360545546,0.00045599635202918376,0.4268915498549366,0.5622346181544547,0.038910505836575876,0.0,0.0,0.0,2,0.17088705183846617,Sedang,-0.1068225598525645,0.03797655814822009
IDN.1.18_1,NaganRaya,0.07697942456212861,0.084359325125399,0.6550223651719946,0.5370277087589698,0.04260174571458618,0.0,0.0010970520931484723,0.0015503875968992248,2,0.17088705183846617,Sedang,0.046812907286667094,-0.0788919611724349
IDN.1.20_1,Pidie,0.06704917585226926,0.20884632922936616,0.6801644847548644,0.5217725765478038,0.02712266154656517,0.004642186522011266,0.008473549602907525,0.031395348837209305,2,0.17088705183846617,Sedang,0.052889022626216975,-0.1512896723967065
IDN.1.19_1,PidieJaya,0.021658616130831133,0.04696762425900593,0.6850196386546784,0.5533028108664086,0.027709568962260588,0.036511579386605465,0.055377574370709386,0.15833333333333333,2,0.17088705183846617,Sedang,0.06392288321343109,-0.16282919745765412
IDN.1.21_1,Sabang,0.0026331920523980906,0.007751937984496124,0.45810518400827194,0.4535002641328481,0.03765163653009842,0.0,2.019114281868354e-05,0.0011627906976744186,2,0.17088705183846617,Sedang,-0.16067703273043987,0.0002844636789387095
IDN.1.22_1,Simeulue,0.04106059289885603,0.03556771545827633,0.7213520486734403,0.6308778261934476,0.04118028534370947,0.012048821197579804,0.12492260061919505,0.3812015503875969,0,0.23411391050829283,Tinggi,0.1475888161620741,-0.24185223082035928
IDN.1.23_1,Subulussalam,0.02570682682216454,0.008207934336525308,0.8407993070367612,0.48860499403247265,0.10624729788153914,5.2159399123722096e-05,0.02267465338538161,0.047286821705426356,2,0.17088705183846617,Sedang,0.138901818974543,-0.11610319368775777
IDN.2.1_1,Badung,0.008902201749754186,0.005015959872321021,0.42633637002578034,0.42631078719461907,0.1544039617969579,0.00015647819737116627,0.0001951810472472742,0.004457364341085271,2,0.17088705183846617,Sedang,-0.17738195371478627,0.08385405457259035
IDN.2.2_1,Bangli,0.011762084427428078,0.0196078431372549,0.5884558576916348,0.46777548328201823,0.09039905890869605,0.00020863759649488838,0.0016825952348902948,0.045542635658914726,2,0.17088705183846617,Sedang,-0.05070551510181154,-0.029915878366240864
IDN.2.3_1,Buleleng,0.029969562748039576,0.060191518467852256,0.7097616743680234,0.477880697135837,0.046294658648744255,0.00015647819737116627,0.0006124646655000673,0.0027131782945736434,2,0.17088705183846617,Sedang,0.034299374588759646,-0.10122172818794208
