id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,korban_total,rumah_rusak_total,fasum_rusak_total
IDN.10.9_1,Grobogan,1.0,11.0,3.630599626,3.630599626,0.0,0.0,0.0
IDN.10.10_1,Jepara,6.0,247.33333333333334,4.803286945,3.7426547911666668,0.0,5.0,1.0
IDN.10.11_1,Karanganyar,3.0,158.0,3.645192434,3.1857761823333335,0.0,142.0,0.0
IDN.10.12_1,Kebumen,7.0,35.714285714285715,4.224940315,3.2865243021428574,1.0,71.0,2.0
IDN.10.13_1,Kendal,8.0,13.0,3.037197247,2.67086959375,0.0,0.0,0.0
IDN.10.14_1,Klaten,8.0,13.75,3.778510623,2.6193850041249997,19172.0,95898.0,1354.0
IDN.10.15_1,KotaMagelang,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.10.16_1,KotaPekalongan,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.10.17_1,KotaSemarang,1.0,10.0,5.706508748,5.706508748,0.0,0.0,0.0
IDN.10.18_1,KotaTegal,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.10.19_1,Kudus,1.0,10.0,4.282437535,4.282437535,0.0,0.0,0.0
IDN.10.20_1,Magelang,5.0,76.2,4.130889149,3.0203774236,34.0,775.0,228.0
IDN.10.21_1,Pati,4.0,144.25,4.605129232,3.40686915775,0.0,0.0,0.0
IDN.10.22_1,Pekalongan,5.0,11.4,3.171766582,2.6987364962,1.0,7.0,0.0
IDN.10.23_1,Pemalang,5.0,164.0,4.773448014,3.5558180792000003,0.0,0.0,0.0
IDN.10.24_1,Purbalingga,3.0,37.0,3.2940839,2.5457681846666667,0.0,8.0,0.0
IDN.10.25_1,Purworejo,12.0,78.41666666666667,5.334478719,3.2407825535833332,6.0,396.0,115.0
IDN.10.26_1,Rembang,5.0,12.6,5.266361534,3.4873066375999997,0.0,0.0,1.0
IDN.10.27_1,Salatiga,2.0,14.5,3.443282302,3.1448574575,0.0,0.0,0.0
IDN.10.28_1,Semarang,35.0,22.685714285714287,3.808764211,2.937534852857143,0.0,39.0,0.0
IDN.10.29_1,Sragen,2.0,120.5,4.832723487,3.8698078435000003,0.0,0.0,0.0
IDN.10.30_1,Sukoharjo,5.0,61.0,3.042954216,2.5572887318,70.0,1529.0,99.0
IDN.10.31_1,Surakarta,1.0,177.0,2.396542042,2.396542042,0.0,0.0,0.0
IDN.10.32_1,Tegal,7.0,149.14285714285714,4.5520213,2.968674801428572,1.0,1.0,0.0
IDN.10.33_1,Temanggung,10.0,35.6,3.817707984,2.9607574658,0.0,85.0,0.0
IDN.10.34_1,WadukKedungombo,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.10.35_1,Wonogiri,14.0,69.07142857142857,5.427623123,3.486101354285714,4.0,405.0,51.0
IDN.10.36_1,Wonosobo,11.0,32.0,4.758375995,2.8180436848181816,0.0,17.0,3.0
IDN.11.1_1,Bangkalan,1.0,10.0,3.512669592,3.512669592,0.0,0.0,0.0
IDN.11.2_1,Banyuwangi,78.0,40.782051282051285,4.636455811,2.686966827551282,4.0,61.0,14.0
IDN.11.3_1,Batu,3.0,11.0,3.270456317,2.9974933129999997,0.0,2.0,7.0
IDN.11.4_1,Blitar,15.0,131.46666666666667,4.4827026,3.383578968666667,0.0,0.0,0.0
IDN.11.5_1,Bojonegoro,59.0,26.610169491525422,5.633583364,2.8425596042033896,0.0,0.0,0.0
IDN.11.6_1,Bondowoso,54.0,15.203703703703704,3.6101845,2.7169160835555553,0.0,5.0,0.0
IDN.11.7_1,Gresik,5.0,29.8,4.923161872,3.3674707942,7.0,6478.0,325.0
IDN.11.8_1,Jember,62.0,44.564516129032256,4.616829862,2.8159092019516128,12.0,154.0,19.0
IDN.11.9_1,Jombang,4.0,55.5,5.417680557,3.39364274275,0.0,0.0,0.0
IDN.11.10_1,Kediri,23.0,64.30434782608695,4.786002333,3.3232756860434782,0.0,0.0,0.0
IDN.11.11_1,KotaBlitar,0.0,514.0,0.0,0.0,14.0,2078.0,190.0
IDN.11.12_1,KotaKediri,2.0,10.0,2.616392108,2.4203789694999998,0.0,5.0,3.0
IDN.11.13_1,KotaMadiun,0.0,514.0,0.0,0.0,0.0,0.0,0.0
