id_kabupaten,nama_kabupaten,luas_wilayah_km2,frekuensi_gempa,mag_max,mag_mean,depth_mean,cluster_label,risk_score,risk_level,PC1,PC2
IDN.8.3_1,Jambi,0.003650021186215806,0.00045599635202918376,0.6530995977626031,0.8601603922346622,0.019455252918287938,0,0.3700323617136747,Tinggi,0.24718275492255137,-0.013612696613645961
IDN.8.4_1,Kerinci,0.07620072115204606,0.012311901504787962,0.6591748145940814,0.5902866045173871,0.13834846519671423,2,0.25834684220986043,Sedang,0.10189523879075602,0.00614786747527887
IDN.8.5_1,Merangin,0.16642113622393429,0.08527131782945736,0.6239467624858521,0.6132014934632718,0.2679102769512475,0,0.3700323617136747,Tinggi,0.1377622972567213,0.08728629331009277
IDN.8.6_1,MuaroJambi,0.12361004242374488,0.0013679890560875513,0.6720463919080006,0.7694364460918018,0.01621271076523995,0,0.3700323617136747,Tinggi,0.2187434513896891,-0.06693261350850292
IDN.8.7_1,Sarolangun,0.1315927712488563,0.03146374829001368,0.7373737587269572,0.6114434064348683,0.2835109682512829,0,0.3700323617136747,Tinggi,0.2077946224341658,0.08226893689664647
IDN.8.8_1,SungaiPenuh,0.007741237644887795,0.00045599635202918376,0.5017304106780509,0.6608006318230232,0.19844357976653698,2,0.25834684220986043,Sedang,0.04290657786266283,0.1464700872182202
IDN.8.9_1,TanjungJabungB,0.11057765034441687,0.0013679890560875513,0.6896155799949069,0.789271820048817,0.1835278858625162,0,0.3700323617136747,Tinggi,0.2739595625025646,0.0698540380288079
IDN.8.10_1,TanjungJabungT,0.11088613029866964,0.001823985408116735,0.6712786080697651,0.7540895577754507,0.5155642023346304,0,0.3700323617136747,Tinggi,0.3011111849043462,0.34011987299910273
IDN.8.11_1,Tebo,0.13864312952492572,0.004103967168262654,0.7275041714481865,0.7392513930722073,0.11175961954172071,0,0.3700323617136747,Tinggi,0.2565161554839439,-0.019898973049743897
IDN.9.2_1,Bandung,0.03978311603837213,0.11582307341541268,0.6515211958019201,0.44452026640928155,0.044272189711694596,2,0.25834684220986043,Sedang,-0.024632651705211006,-0.12514002391963058
IDN.9.1_1,BandungBarat,0.028861330442160507,0.017327861377108983,0.7366685555773783,0.47352596013489656,0.05309236125332788,2,0.25834684220986043,Sedang,0.048979254118511784,-0.10875660653230705
IDN.9.3_1,Banjar,0.0027839674334786788,0.0,0.0,0.0,0.0,1,0.004851914875630412,Rendah,-0.7893913791813589,0.03484658116085085
IDN.9.4_1,Bekasi,0.028598478271986638,0.001823985408116735,0.5783470489997521,0.577607671339971,0.27285992217898836,2,0.25834684220986043,Sedang,0.05541266579008963,0.1565721613162501
IDN.9.5_1,Bogor,0.06781793278833864,0.07432740538075695,0.6364158102816161,0.45676803089599805,0.054033085865699076,2,0.25834684220986043,Sedang,-0.02088044890583307,-0.1009151353564972
IDN.9.6_1,Ciamis,0.06206078240526551,0.0168718650250798,0.6953012763467901,0.5248859904072813,0.18719108213271637,2,0.25834684220986043,Sedang,0.08818357625239204,0.020243320013342187
IDN.9.7_1,Cianjur,0.0816102000058942,0.29958960328317374,0.6819024854729421,0.40155688802106626,0.051312119112342985,2,0.25834684220986043,Sedang,-0.018258432757808585,-0.2091385691133209
IDN.9.8_1,Cimahi,0.0007456021510921107,0.0009119927040583675,0.4318986881750814,0.4497152631629933,0.0311284046692607,2,0.25834684220986043,Sedang,-0.18286059338878102,-0.0068331368477463975
IDN.9.9_1,Cirebon,0.02409022871965077,0.001823985408116735,0.38078683308476036,0.4585464133435417,0.019941634241245135,2,0.25834684220986043,Sedang,-0.2091134607198536,-0.00010133398673289884
IDN.9.10_1,Depok,0.004340820672538789,0.00045599635202918376,0.3963595661640332,0.522022676274166,0.5058365758754864,2,0.25834684220986043,Sedang,-0.0653795999797524,0.40836140063546256
IDN.9.11_1,Garut,0.07024299126820077,0.0870953032375741,0.7702794487872342,0.5099228085760279,0.06740073746613157,2,0.25834684220986043,Sedang,0.10945035046292062,-0.13356079414563177
IDN.9.12_1,Indramayu,0.04723120317084928,0.005927952576379389,0.626483411112696,0.6122791792480459,0.2999102065249925,0,0.3700323617136747,Tinggi,0.12047088925082328,0.16278843230980222
IDN.9.13_1,Karawang,0.04317417213841518,0.017327861377108983,0.591486199964567,0.492539579638513,0.07725783329920131,2,0.25834684220986043,Sedang,-0.02860125185144269,-0.03382636742114743
IDN.9.14_1,KotaBandung,0.0036198894032588042,0.0013679890560875513,0.4386034347813104,0.5087302947888837,0.05252918287937743,2,0.25834684220986043,Sedang,-0.13306403069491912,0.019716910152591815
IDN.9.15_1,KotaBekasi,0.004666408085042939,0.00045599635202918376,0.4621972723772698,0.6087337803603041,0.4377431906614786,2,0.25834684220986043,Sedang,0.02572403554331215,0.3462693357203706
IDN.9.16_1,KotaBogor,0.0023455951826269177,0.0031919744642042863,0.49561606561978533,0.4360172184587832,0.0216787103946637,2,0.25834684220986043,Sedang,-0.15076100118666202,-0.04224954313631796
IDN.9.17_1,KotaCirebon,0.0007230443041819925,0.0,0.0,0.0,0.0,1,0.004851914875630412,Rendah,-0.7897665247958326,0.03526518492001561
IDN.9.18_1,KotaSukabumi,0.0009210253494123134,0.0009119927040583675,0.4929867035492584,0.5706344663303464,0.1303501945525292,2,0.25834684220986043,Sedang,-0.03935206596968055,0.0765691373965601
IDN.9.19_1,KotaTasikmalaya,0.004000350385423608,0.0027359781121751026,0.4009066604626747,0.4894309457858998,0.07230869001297016,2,0.25834684220986043,Sedang,-0.1678638185449155,0.045358804310243764
IDN.9.20_1,Kuningan,0.026797538338548463,0.009119927040583675,0.5754799442185992,0.516235297792048,0.09182879377431907,2,0.25834684220986043,Sedang,-0.023558686878990542,-0.0049697371174033875
IDN.9.21_1,Majalengka,0.03029742778481908,0.005927952576379389,0.5896687138943404,0.5760768189120655,0.220143669560012,2,0.25834684220986043,Sedang,0.05233995929484225,0.1073005157645593
IDN.9.22_1,Purwakarta,0.02228456651381103,0.008663930688554491,0.488788276793439,0.4344837408074805,0.04638541879991808,2,0.25834684220986043,Sedang,-0.14786081653967242,-0.02572404700622128
IDN.9.23_1,Subang,0.048918543914084074,0.009575923392612859,0.6989424597969672,0.5372402053254735,0.0751343338891977,2,0.25834684220986043,Sedang,0.07500752534724964,-0.06489955519958743
IDN.9.24_1,Sukabumi,0.09453418457267647,0.22024623803009574,0.7549662623518056,0.4866935904451423,0.06399690649394592,2,0.25834684220986043,Sedang,0.09160986852053421,-0.18457220963097531
IDN.9.25_1,Sumedang,0.03523436909333676,0.020975832193342453,0.7287070449854562,0.4967452853179245,0.08243106073422433,2,0.25834684220986043,Sedang,0.06651147531325874,-0.07950026927826408
IDN.9.26_1,Tasikmalaya,0.06135948387347473,0.008663930688554491,0.6391564324075217,0.5761042010045515,0.18554167519967232,2,0.25834684220986043,Sedang,0.08484912460407068,0.05339334142009231
