id_kabupaten,nama_kabupaten,luas_wilayah_km2,frekuensi_gempa,depth_mean,mag_max,mag_mean
IDN.17.14_1,WayKanan,3600.665703553659,26.0,192.6153846153846,4.938484501,3.8856271056923077
IDN.17.1_1,BandarLampung,177.19265376399815,1.0,10.0,2.758304806,2.758304806
IDN.17.2_1,LampungBarat,5141.81024589033,1317.0,24.392558845861807,6.464664359,3.5785219433955957
IDN.17.3_1,LampungSelatan,2186.274300832974,226.0,40.1283185840708,6.282035514,3.588918591486726
IDN.17.4_1,LampungTengah,4643.989557386951,37.0,104.24324324324324,5.71871405,3.5174209676486488
IDN.17.5_1,LampungTimur,3947.219160605285,9.0,143.11111111111111,6.052612018,4.148151664111111
IDN.17.6_1,LampungUtara,2570.2291572079052,13.0,158.46153846153845,4.705411,3.576281593230769
IDN.17.7_1,Mesuji,2185.7617316059313,1.0,10.0,4.941214724,4.941214724
IDN.17.9_1,Pesawaran,1370.9522324706986,44.0,56.06818181818182,4.595554334,3.2196866150454544
IDN.18.1_1,HalmaheraBarat,2178.07636592741,1702.0,66.37602820211517,6.684196875,3.6961480785734433
IDN.18.2_1,HalmaheraSelatan,8150.153603097662,1939.0,32.01908200103146,7.106909133,3.657007257554925
IDN.18.3_1,HalmaheraTengah,2264.6013182855495,152.0,22.651315789473685,6.120652964,3.7179009613026315
IDN.18.4_1,HalmaheraTimur,6469.179266168229,412.0,31.21359223300971,5.861161633,3.5356608339150486
IDN.18.5_1,HalmaheraUtara,3479.6745782415337,1200.0,33.48583333333333,7.218846616,3.806283749544167
IDN.18.6_1,KepulauanSula,4782.53050315119,393.0,31.8117048346056,5.921048,3.859932080066158
IDN.18.7_1,PulauMorotai,2346.3473488992045,1630.0,95.45337423312884,6.712986738,4.110629880764417
IDN.18.8_1,Ternate,161.80930155058192,4194.0,24.84191702432046,7.152413494,3.7362793312999525
IDN.18.9_1,TidoreKepulauan,1683.627931744035,33.0,66.0909090909091,5.636662939,3.3432818626666663
IDN.19.10_1,SeramBagianTimur,5882.938330034507,1180.0,31.583050847457628,6.237389354,3.770469529037288
IDN.19.11_1,Tual,240.8883675271024,263.0,89.83269961977186,6.3083327,4.423302187410646
